kernel , C , gamma , Accuracy
rbf , 1 , 0.0001 , 0.54215921483097063
rbf , 1 , 0.001 , 0.54215921483097063
rbf , 1 , 0.01 , 0.54215921483097063
rbf , 1 , 0.1 , 0.56847837150127223
rbf , 1 , 1 , 0.57992657215557974
rbf , 10 , 0.0001 , 0.54215921483097063
rbf , 10 , 0.001 , 0.54215921483097063
rbf , 10 , 0.01 , 0.5700014540167212
rbf , 10 , 0.1 , 0.59747655398037069
rbf , 10 , 1 , 0.56237440930570703
rbf , 20 , 0.0001 , 0.54215921483097063
rbf , 20 , 0.001 , 0.54559360232642684
rbf , 20 , 0.01 , 0.57687022900763352
rbf , 20 , 0.1 , 0.60549182115594324
rbf , 20 , 1 , 0.56237804434751004
rbf , 30 , 0.0001 , 0.54215921483097063
rbf , 30 , 0.001 , 0.55360523446019627
rbf , 30 , 0.01 , 0.5833587786259542
rbf , 30 , 0.1 , 0.60816284987277358
rbf , 30 , 1 , 0.56046892039258456
rbf , 40 , 0.0001 , 0.54215921483097063
rbf , 40 , 0.001 , 0.55665503453289711
