kernel , C , gamma , Accuracy
poly , 1 , 0.0001 , 0.54215921483097063
poly , 1 , 0.001 , 0.54215921483097063
poly , 1 , 0.01 , 0.54215921483097063
poly , 1 , 0.1 , 0.54215921483097063
poly , 1 , 1 , 0.57954489276626686
poly , 10 , 0.0001 , 0.54215921483097063
poly , 10 , 0.001 , 0.54215921483097063
poly , 10 , 0.01 , 0.54215921483097063
poly , 10 , 0.1 , 0.54215921483097063
poly , 10 , 1 , 0.57229807342784444
poly , 20 , 0.0001 , 0.54215921483097063
poly , 20 , 0.001 , 0.54215921483097063
poly , 20 , 0.01 , 0.54215921483097063
poly , 20 , 0.1 , 0.54215921483097063
poly , 20 , 1 , 0.57382260996001455
poly , 30 , 0.0001 , 0.54215921483097063
poly , 30 , 0.001 , 0.54215921483097063
poly , 30 , 0.01 , 0.54215921483097063
poly , 30 , 0.1 , 0.54215921483097063
poly , 30 , 1 , 0.57114940021810257
poly , 40 , 0.0001 , 0.54215921483097063
poly , 40 , 0.001 , 0.54215921483097063
poly , 40 , 0.01 , 0.54215921483097063
